filename,PESQ,CSIG,CBAK,COVL,STOI,SSNR
p257_197.wav,2.853278636932373,4.41448941893264,3.432901595604359,3.6777173042025795,0.9873173379341167,7.549569909435015
p257_198.wav,3.4746453762054443,4.930012209697292,4.005678279074306,4.250989549112074,0.9904061036420996,11.794815214807471
p257_199.wav,3.0112013816833496,4.575072666351052,3.307256752338077,3.843585212275727,0.7125758055871624,4.082909684615118
p257_200.wav,3.5135791301727295,5.0,4.048909127367116,4.314072801813063,0.9817238752746515,11.976659267563916
p257_201.wav,3.249847650527954,4.703831220513261,3.7217562281972323,4.030827536671586,0.9237844982568625,8.734041964441975
p257_202.wav,3.398477792739868,4.902335239886011,3.6996563914774483,4.1992942582901795,0.937643994217331,7.491531248329912
p257_203.wav,2.1773438453674316,3.834915763601037,3.070460723748345,3.0497866602482873,0.8886723608052527,6.847010361226562
p257_204.wav,3.8224525451660156,5.0,4.022010746922717,4.572754084039208,0.9810582131478662,9.419945604329442
p257_205.wav,3.473034143447876,5.0,3.834757644650527,4.310191883780891,0.9241220690991199,9.028388455906269
p257_206.wav,3.3633248805999756,4.838753150034193,4.015798686643213,4.151529020591513,0.9513554497259769,12.70490061034164
p257_207.wav,3.0965094566345215,4.623650592018355,3.6893969561805333,3.907703898042577,0.9593825881083018,9.639267370978443
p257_208.wav,2.908051013946533,4.421285199674277,3.654127118219145,3.7121184095011563,0.8452726442680113,10.497402946479836
p257_209.wav,2.4843239784240723,4.138725348495207,3.351540057646254,3.351945312903326,0.9518885536611901,9.156652845300002
p257_210.wav,2.4176177978515625,4.0095763593493325,3.153392927616479,3.258052156851591,0.8650444096491479,6.339059270909699
p257_211.wav,1.3077595233917236,2.961282961323583,2.3452390587884993,2.1637768070150183,0.8369090921430541,2.4711532368763205
p257_212.wav,3.5016355514526367,4.926943146121768,4.060741924721482,4.270855145691525,0.9868480941723602,12.122002583371644
p257_213.wav,2.4746110439300537,4.160127226756391,3.1251679511693595,3.366161966942604,0.9165164125243583,5.263853384522704
p257_214.wav,1.7718114852905273,3.4062661846460687,2.706710140983585,2.6299418907409593,0.7712916133666886,4.228590124903453
p257_215.wav,2.39424991607666,3.9302827360426287,3.018176927070934,3.190071453258739,0.8691069485114296,5.107030418700494
p257_216.wav,3.515338897705078,5.0,4.120792839015894,4.318169083502216,0.9943167206608832,13.241544591110467
p257_217.wav,3.639730930328369,5.0,4.151585028895013,4.396283590643608,0.9932490057660308,12.829404565015135
p257_218.wav,3.443417549133301,4.851260727217252,3.926816057859692,4.19863642260147,0.9719128058721561,10.665404455374738
p257_219.wav,3.148592233657837,4.597857846284945,3.7288776655438642,3.9163680955560602,0.975811117412805,10.08235258219871
p257_220.wav,3.0934062004089355,4.670113394240586,3.5453895134690505,3.934974533011796,0.9694579966223298,7.124999619507835
p257_221.wav,3.3529725074768066,4.778797450798104,3.7784498430622664,4.105812677833424,0.9727286773828172,9.485524062979149
p257_222.wav,3.277865409851074,4.670334583698708,3.578238456534826,4.009162356777695,0.9437783462414571,7.086968394727835
